AA	總論{{一}}
ZZ	國家以文武醫入官, 盖爲養民設, 未有不自學古而得之者. 學古之道, 雖別而同. 爲儒必讀五經ㆍ三史ㆍ諸子ㆍ百家, 方稱學者. 醫者之經, 素問ㆍ靈樞是也. 史書, 卽諸家本草是也. 諸子, 難經ㆍ甲乙ㆍ太素ㆍ中藏是也. 百家, 鬼遺ㆍ龍樹ㆍ金鏃ㆍ刺要ㆍ銅人ㆍ明堂ㆍ幼幼新書ㆍ產科保慶等是也. 儒者不讀五經, 何以明道德性命, 仁義禮樂; 醫不讀靈素, 何以知陰陽運變, 德化政令. 儒不讀諸史, 何以知人材賢否, 得失興亡; 醫不讀本草, 何以知名德性味, 養生延年. 儒不讀諸子, 何以知崇正衛敎, 學識醇疵; 醫不讀難素, 何以知神聖工巧, 妙理奧義. 儒不讀百家, 何以知律曆制度, 休咎吉凶; 醫不讀雜科, 何以知脉穴骨空, 奇病異證. 然雖如是, 猶未爲博. 況經史之外, 又有文海類集, 如漢之班馬, 唐之韓柳, 及宋文物最盛, 難以槪擧. 醫文, 漢亦有張仲景ㆍ華佗, 唐則有孫思邈ㆍ王冰等, 動輒千百卷; 其如宋有太平聖惠ㆍ乘閑集效ㆍ神巧萬全, 備見崇文名醫別錄, 豈特汗牛充棟而已哉. 使學者一覽無遺, 博則博矣, 倘未能反約, 則何以適從. 予今所述, 乃收拾諸經筋髓, 其亦反約之道也. 讀醫方者, 當推上聖養民設敎爲意, 庶不負於先覺也.
CC	五科凡例
ZZ	凡學醫, 必識五科七事. 五科者, 脉ㆍ病ㆍ證ㆍ治及其所因. 七事者, 所因復分爲三. 故因脉以識病, 因病以辨證, 隨證以施治, 則能事畢矣. 故經曰: 有是脉而無是診者, 非也. 究明三因, 內外不濫; 參同脉證, 盡善盡美.
ZZ	凡學脉, 須先識七表ㆍ八裏ㆍ九道, 名體證狀, 了然分別, 然後以關前一分應動相類, 分別內外及不內外. 又須知二十四脉以四脉爲宗, 所謂浮沈遲數, 分風寒暑濕, 虛實冷熱, 交結諸脉, 隨部說證, 不亦約乎.
ZZ	凡審病, 先須識名, 所謂中傷寒暑風濕, 瘟疫時氣, 皆失所因. 藏府虛實, 五勞六極, 皆內所因. 其如金瘡踒折, 虎狼毒蟲, 涉不內外. 更有三因備具, 各有其名. 所謂名不正則言不順, 言不順則事不成, 學不可不備.
ZZ	凡學審證, 須知外病自經絡入, 隨六經所出, {幷=井@『三因極一病證方論』}ㆍ{營=滎@『靈樞經』}ㆍ輸ㆍ{源=原@『靈樞經』}ㆍ經ㆍ合各有穴道, 起沒流傳, 不可不別. 內病自五藏鬱發, 證候各有部分, 溢出諸脉各有去處. 所謂上竟上, 頭ㆍ項ㆍ胷ㆍ喉中事也; 下竟下, 腹ㆍ肚ㆍ腰ㆍ足中事也.
ZZ	凡用藥, 須熟讀本草, 廣看方書, 雷公炮炙, 隨方過製, 汗下補吐, 輕重澁滑燥潤等性, 量病淺深, 飮服多寡, 五德五味, 七情八反, 升合分兩, 朝代不同, 一一備學, 將欲對治須識前後. 故經曰: 先去新病, 病當在後.
ZZ	凡治病, 先須識因; 不知其因, 病源无目. 其因有三: 曰內, 曰外, 曰不內外. {外=內@『三因極一病證方論』}則七情, {內=外@『三因極一病證方論』}則六淫, 不內不外, 乃背經常. 金匱之言實爲要道. 巢氏病源具列一千八百餘件, 盖爲示病名也. 以此三條, 病源都盡, 不亦反約乎.
ZZ	凡學醫, 旣明五科, 每科須識其要. 脉有浮沈遲數, 病有風勞氣冷, 證有虛實寒熱, 治有汗下補吐. 若於三因推明, 外曰寒熱風濕, 內曰喜怒憂思, 不內外曰勞逸作強, 各有證候, 詳而推之, 若網在綱, 有條不紊.
ZZ	凡看古方類例, 最是朝代沿革, 升合分兩差殊. 若數味皆用分兩, 不足較也. 第中閒有用升合枚數, 大段不同. 升斗秤尺本自積黍, 黍自不可見, 度量衡卒亦難明. 今以錢譜推測, 粗知梗槪.
ZZ	凡度者, 分ㆍ寸ㆍ尺ㆍ丈ㆍ引. 本以一黍之廣爲分, 十分爲寸, 十寸爲尺, 十尺爲丈, 十丈爲引. 觀今之尺, 數等不同. 如周尺長八尺, 京尺長一尺六寸, 淮尺長一尺二寸, 樂尺長一尺二寸五分, 並以小尺爲率, 小尺旣自三微起, 却自可凖. 唐武德年鑄開元錢, 八分, 當十二錢半得一尺. 排錢比之, 十一个已及一尺, 又不知唐用何尺. 顧漢唐龠量, 並用尺寸分布, 尺寸如是不齊, 將何憑據, 博古君子必有說矣.
ZZ	凡量者, 龠ㆍ合ㆍ升ㆍ斗ㆍ斛. 本以黃鍾龠容十二銖, 合龠爲合, 重二十四銖. 今以錢凖, 則六銖錢四个, 比開元錢三个重. 升ㆍ斗ㆍ斛皆壘而成數, 漢唐同用. 至宋紹興, 升容千二百銖, 則古文六銖錢二百个, 開元二百二十个, 以紹興一升得漢五升. 其餘私用, 不足計也.
ZZ	凡衡者, 銖ㆍ兩ㆍ斤ㆍ鈞ㆍ石. 亦以黃鍾龠所容重十二銖, 兩之爲兩, 二十四銖爲兩, 十六兩爲斤, 三十斤爲鈞, 四鈞爲石. 每兩則古文六銖錢四个, 開元錢三个. 至宋廣秤, 以開元錢十个爲兩. 今之三兩, 得漢唐十兩明矣. 千金ㆍ本草皆以古三兩爲今一兩, 以古三升爲今一升. 諸藥類例, 尤爲難辨, 且如半夏一升凖五兩, 不知用何升何兩, 此修合制度之要務, 不可不知. 漢銅錢質如周錢, 文曰半兩, 重如其文. 孝文五年, 錢益多而輕, 乃更鑄四銖, 其文爲半兩, 雜以鉛ㆍ鐵ㆍ錫. 非殽雜爲巧, 則不得贏, 而姦或盜, 磨錢質取鎔. 有司言錢輕重, 請郡國鑄五銖錢, 周郭有質, 令不得磨取鎔. 則知漢以二半兩錢爲兩, 重十銖明矣. 漢唐例以二十四銖爲一兩, 抑未知修史人改作唐例, 亦不可知. 觀錢譜漢無六銖錢, 至唐方有. 今以五銖錢十六个, 正得開元錢十个重; 又以六銖錢十二个, 正得開元錢九个重. 則知開元錢每个以重八銖. 唐武德四年鑄開元通寶, 徑八分, 重二銖四絫, 積十錢爲兩, 似難攷據, 明食貨者必有說焉.
ZZ	按藥書, 漢方湯液, 大齊三十餘兩, 小齊十有餘兩, 用水六升或七升, 多煎取二升ㆍ三升, 並分三服. 若以古龠量水七升, 煎今之三十兩, 未淹得過. 況散末藥只服方寸刀圭匕, 圓子如梧桐子大, 極至三十粒, 湯液豈得如此懸絶. 又如風引湯一劑計五十五兩, 每兩只用三指撮, 水三升, 煮三沸, 去滓溫服一升. 看其煮製, 每只三指撮, 未應料齊如此之多, 此又可疑也. 今以臆說, 漢方當用半兩錢二枚爲一兩. 且以朮附湯方較, 若用漢兩計一百八十銖, 得開元錢二十二个半重, 若分三服, 已是今之七錢半重一服. 若以唐方凖計, 三百三十六銖, 得開元錢四十二个重, 每服計今之十四錢重, 大略可知. 若以開元錢凖得一百單五个重, 分三服, 每服計三十五錢重. 此猶是小齊, 況有大齊名件兩數之多者, 未易槪擧, 留心此道, 幸少詳焉.
ZZ	凡古書所詮, 不出脉ㆍ病ㆍ證ㆍ治四科, 而撰述家有不知此, 多致顯晦, 文義重復, 要當以四字類明之. 四字者, 卽名ㆍ體ㆍ性ㆍ用也. 如脉, 浮則爲名, 擧有餘按不足爲體, 爲風爲虛曰性, 可補可汗曰用. 如病, 太陽傷風爲名, 感已嗇嗇爲體, 惡風自汗爲性, 傳變經絡爲用. 如證, 太陽風證爲名, 頭項疼腰脚痛爲體, 不與諸經濫爲性, 候其進退爲用. 如治, 藥桂則爲名, 出處形色爲體, 德味備缺爲性, 汗下補吐爲用. 以此推之, 讀脉經, 看病源, 推方證, 節本草, 皆用此法, 无餘蘊矣.
CC	紀用備論
ZZ	夫陰陽運五氣, 行乎天地之閒, 則神明爲之紀, 故有德化ㆍ政令ㆍ變眚之異; 物類稟五行, 孕於八方之內, 則生靈頼其資, 故有功能ㆍ氣味ㆍ性用之殊. 苟氣運之失常, 非藥石則不療. 所謂功奪造化, 恩備{財=裁@『三因極一病證方論』}成者, 無逾於藥石也. 故敷和ㆍ彰顯ㆍ溽蒸ㆍ淸潔ㆍ凄凔者, 五氣之德也; 安魂ㆍ育神ㆍ益氣ㆍ定魄ㆍ守志者, 百藥之功也. 生榮ㆍ蕃茂ㆍ豐備ㆍ緊歛ㆍ淸謐者, 五氣之化也; 通潤ㆍ悅懌ㆍ輕身ㆍ潤澤ㆍ益精者, 百藥之能也. 舒啓ㆍ明曜ㆍ安靜ㆍ勁切ㆍ疑肅者, 五氣之政也; 開明ㆍ利脉ㆍ滑膚ㆍ堅肌ㆍ強骨者, 百藥之氣也. 風ㆍ熱ㆍ濕ㆍ燥ㆍ寒者, 五氣之令也; 酸ㆍ苦ㆍ甘ㆍ辛ㆍ鹹者, 百藥之味也. 顧茲氣運, 與萬物雖種種不齊, 其如成象效法, 无相奪倫, 一一主對, 若合符契. 至於勝復盛衰, 不能相多; 往來升降, 不能相无. 故各從其動而興災變, 亦不相加也. 於是有振發ㆍ銷鑠ㆍ驟注ㆍ肅殺ㆍ凜冽者, 五氣之變也; 在藥則有收歛ㆍ乾焦ㆍ甜緩ㆍ歛澁ㆍ滋滑者, 百藥之性也. 散落ㆍ燔焫ㆍ霜潰ㆍ蒼隕ㆍ{水=冰@『三因極一病證方論』}雪者, 五氣之眚也; 在藥則有鼽衄ㆍ溢汗ㆍ嘔吐ㆍ涎涌ㆍ泄利者, 百藥之用也. 德化者氣之祥, 功能者藥之良, 政令者氣之章, 氣味者藥之芳. 古之治法, 遇歲主藏害, 雖平治之不同, 必以所勝而命之. 故經曰: 上淫于下, 所勝平之, 平天氣也; 下淫于內, 所勝治之, 治地氣也. 故司天之氣, 風淫所勝, 平以辛涼; 諸氣在泉, 風淫于內, 治以辛涼, 此之謂也. 至於折抑主客, 鬱發勝復, 治之亦莫越于功能氣味, 盖從其德化政令之所爲也. 今則不然, 惟取其性用之所利, 而治其灾變之所傷, 寒者熱之, 熱者寒之, 溫者凊之, 凊者溫之, 散者收之, 收者散之, 滑者澁之, 澁者滑之, 燥者潤之, 急者緩之, 堅者耎之, 脆者柔之, 衰者補之, 強者瀉之. 故略去功能氣味, 隨其性用, 以備治法之總目, 合和修製之大綱, 備禦災變之要略尔; 衛生明哲之士, 當不拘於此也. 夫五味各隨其所喜攻, 酸先入肝, 苦先入心, 甘先入脾, 辛先入肺, 鹹先入腎, 久而增氣則藏氣偏勝, 偏勝則有偏害, 偏害則致偏絶, 夭之由也. 是以政理觀化, 藥集商量. 服餌云: 藥不具五味五氣而久服之, 雖且獲勝, 久必暴夭, 此之謂也. 近世庸俗爲治, 使人單服附子, 爲害滋多, 可不謹乎.
CC	藏府配天地論
ZZ	韓子曰: 形而上者謂之天, 形而下者謂之地, 介於其兩閒者謂之人. 人受天地之中以生, 莫不稟二氣以成形. 是以六氣緯空, 五行麗地, 人則默而象之. 故足厥陰肝居於巳, 手厥陰右腎居於亥, 巳亥爲天地之門戶, 故風木化焉. 足少陰腎居於子, 手少陰心居於午, 子午得天地之正中, 故君火位焉. 足{少=太@『三因極一病證方論』}陰脾居於未, 手太陰肺居於丑, 丑未爲歸藏之標本, 故濕土守焉. 足少陽膽居於寅, 手少陽三焦居於申, 寅申握生化之始終, 故相火麗焉. 足陽明胃居於酉, 手陽明大腸居於卯, 卯酉爲日月之道路, 故燥金行焉. 足太陽膀胱居於辰, 手太陽小腸居於戌, 辰戌爲七政之魁罡, 故寒水注焉. 此三才應奉, 二氣相須, 不刊之說, 如指諸掌. 至於五行六氣, 第相資生, 亦莫不有自然之序. 如厥陰風木生少陰君火, 君火生太陰濕土, 濕土生少陽相火, 相火生陽明燥金, 燥金生太陽寒水, 順天道而右旋, 所謂運行也. 或問: 君火生土, 土復能生相火, 火復生金, 其義何在? 此生成之道也. 相火旣已發焰, 暈暈灰滅, 非土不成, 未見虛空能聚火. 金在鑛, 非火不能煆出, 所以河圖火七居西室, 金九居南室, 盖互顯其成能也. 若以一性而推之, 无所不備. 故木焚則爲火, 絞則爲水; 石擊則爲火, 鎔則爲水. 洲澶之內, 江河競注; 大海之中, 火光常起. 此皆性之本有也. 又何疑土中火, 火中金. 夫木ㆍ火ㆍ土ㆍ金ㆍ水, 此乃常度, 人皆知之; 至於風ㆍ暑ㆍ濕ㆍ燥ㆍ寒, 謂之揆度, 鮮有能明其狀者. 故以木比風, 以火比暑, 以土比濕, 以金比燥, 以水比寒, 仍以上下二氣而配手足三陰三陽, 則謂之奇度. 又況五行各各不同, 有正氣, 有太過, 有不及, 天地氣化旣然, 人之藏府亦然, 感而爲病, 或外邪, 或本氣, 或稟賦, 必當推類, 隨三度而調之. 非究心明道之士, 孰能與此.
CC	三因論
ZZ	夫人稟天地陰陽而生者, 盖天有六氣, 人以三陰三陽而上奉之; 地有五行, 人以五藏五府而下應之. 於是資生皮肉ㆍ筋骨ㆍ精髓ㆍ血脉ㆍ四肢ㆍ九竅ㆍ毛髮ㆍ齒牙ㆍ唇舌, 總而成體. 外則氣血循環, 流注經絡, 喜傷六淫; 內則精ㆍ神ㆍ魂ㆍ魄ㆍ志ㆍ意ㆍ思, 喜傷七情. 六淫者, 寒ㆍ暑ㆍ燥ㆍ濕ㆍ風ㆍ熱是; 七情者, 喜ㆍ怒ㆍ憂ㆍ思ㆍ悲ㆍ恐ㆍ{驚=驚是@『三因極一病證方論』}. 若將護得宜, 怡然安泰, 役冒非理, 百痾生焉. 病診旣成, 須尋所自, 故前哲示敎, 謂之病源. 經不云乎, 治之極于二者因得之, 閉戶塞牖, 繫之病者, 數問其經, 以從其意, 是欲知致病之本也. 然六淫天之常氣, 冒之則先自經絡流入, 內合於腑臟, 爲外所因; 七情人之常性, 動之則先自藏府鬱發, 外形於肢體, 爲內所因; 其如飮食飢飽, 叫呼傷氣, 盡神度量, 疲極筋力, 陰陽違逆, 乃至虎狼毒蟲, 金瘡踒折, 疰忤附著, 畏壓溺等, 有背常理, 爲不內外因. 金匱有言: 千般疢難, 不越三條, 以此詳之, 病源都盡. 如欲救療, 就中尋其類例, 別其三因, 或內外兼幷, 淫情交錯, 惟其深淺, 斷以所因爲病源, 然後配合諸證, 隨因施治, 藥石鍼艾, 无施不可.
CC	外所因論
ZZ	夫六淫者, 寒ㆍ暑ㆍ燥ㆍ濕ㆍ風ㆍ熱是也. 以暑熱一氣, 燥濕同源, 故上經收而爲四. 卽冬傷寒, 春溫病; 春傷風, 夏飧泄; 夏傷暑, 秋痎瘧; 秋傷濕, 冬咳嗽. 此乃因四時而序者. 若其觸冒, 則四氣皆能交結以病人. 且如溫病, 憎寒發熱, 不特拘傷寒也, 冒風ㆍ暑ㆍ濕, 皆有是證. 但風散氣, 故有汗; 暑消氣, 故倦怠; 濕溢血, 故重着. 雖折傷諸證不同, 經絡傳變咸尔, 不可不知, 飧泄亦然. 經曰: 寒甚爲腸癖, 又熱濕久客腸胃, 滑而下利, 亦不止於傷風. 痎瘧諸證, 亦以寒暑風濕互絡而爲病因, 初不偏勝於暑也. 咳論以微寒爲咳, 熱在上焦, 咳爲肺痿, 厲風所吹, 聲嘶發咳, 豈獨拘於濕也. 以是觀之, 則知四氣本乎六化, 六化本乎一氣, 以運變而分陰陽, 反則爲六淫. 故經曰: 陰爲之主, 陽與之正. 逆之則爲病, 乃亂生化之常矣, {常:상!문맥상 앞에 ‘亂’이 더 있어야 할 것 같음}則天地四塞矣. 治之必求其本, 當隨交絡互織而推之, 所謂風寒ㆍ風溫ㆍ風濕ㆍ寒濕ㆍ濕溫五者爲幷, 風濕寒ㆍ風濕溫二者爲合, 乘前四單, 共十一變. 倘有所傷, 當如是而推之. 又兼三陽經絡亦有幷合, 能所簡辨, 甄別脉證, 毫𨤲不濫, 乃可論治. 非通明淫化邪正之精微, 其孰能與於此.
BB	𤨏碎錄
CC	服餌
ZZ	凡服補藥或丹藥, 須隔夜進一服. 青州白元子下胷膈痰氣, 則來日服補藥, 墜下有力.
ZZ	金液丹, 硫黃煉成, 乃純陽之物, 夏至人多服之, 反爲大患, 有痼冷者則宜服之.
ZZ	麋茸補陽, 鹿茸補陰.
CC	修製
ZZ	凡合貴細藥, 須逐味各碾爲細末, 却用末子逐味等分兩合和一處, 庶得停匀作效.
ZZ	凡暴當歸ㆍ附子ㆍ肉荳蔻ㆍ澤瀉ㆍ棗子ㆍ白皂等, 煖則愈生蟲, 宜略蒸少時暴收, 卽無蟲患.
ZZ	凡暴濕藥, {{如枸杞子ㆍ乾山藥之屬.}} 置盆水上卽易乾. {{萍亦然.}}
ZZ	欲通靈救急藥, 須是甲子日陽時方靈.
ZZ	五月上辰ㆍ端午ㆍ臘日幷臘月晦日前三兩日合藥, 久不暍.
ZZ	甘草水中蘸過, 炙令透, 擣末如粉無滓, 試之良驗.
ZZ	蓬莪茂最難末, 惟濕紙裹在灰央中熟煨, 取出急擣, 應手如粉.
ZZ	乳香尋常用指爪ㆍ燈草ㆍ糯米之類同硏, 及水浸鉢硏之, 皆費力; 惟紙裹置壁隙中, 良久取硏卽粉{粹:수!碎의 오자}.
ZZ	炒乾漆以無煙爲度, 每炒時一見煙盛, 卽取下候冷再炒, 如見煙盛, 又取下放地上, 如此三四次卽無煙.
ZZ	兔絲子酒浸令肥, 用紙筋纏, 捏成小餠, 微乾帶濕, 碾則易碎, 以其餘者, 再如此碾之. 但只酒浸爛而碾成膏, 却焙而再碾之, 必碎.
ZZ	牡蠣須先爲細末, 以米飮團之, 入火煆則不爆.
ZZ	硏乳香點痛, {玄胡索:현호색!문맥상 앞에 ‘入’이 더 있어야 할 것 같음}三字則易細.
ZZ	以醋炒鉛丹, 以塩炒鉛, 成粉.
ZZ	通草, 拌糯米粥焙乾硏之, 卽爲細末. 燈心同雲母石欲成末, 須益母草挒汁浸一宿, 硏則易細.
ZZ	熟艾欲成末, 當入白茯苓少許同碾.
ZZ	犀角用人肉暖久之, 擣則成末.
ZZ	燈心欲末, 入磁瓦末少許同碾.
ZZ	生金能殺人. 凡金銀箔, 用手涓滴膠水於甆器內細硏如泥, 然後以水飛過, 就甆焙乾入藥. 令人用金箔貼藥上者, 不宜多服.
ZZ	取橘紅法: 橘皮不拘多少, 水浸令軟, 用麁稻穅拌和, 輕手楺之, 其白盡去.
ZZ	凡碾兔絲子默念老鷹不輟卽易細.
ZZ	凡炙黃芪大頭寫官字小頭寫人字碾易細. 牡蠣有雌雄, 入藥多用雄者, 雄者左顧也, 極有力效.
ZZ	嘉禾散用枇杷葉, 須是先刷去葉上毛盡炙入藥, 不然動人臟腑. 一云: 入肺經, 令人發喘嗽. 乳香用乳鉢下著水, 輕硏自然成末.
ZZ	紫花朮如雞腿者爲佳, 用乾麥麩和之, 可以致遠.
ZZ	用塩拌兔絲子, 碾則易碎.
ZZ	硏乳香以紙裹, 火上略烘之.
ZZ	煆牡礪, 先以京墨末塗之.
ZZ	黃芪用帋包, 席下臥一夜, 次日卽不成滓.
ZZ	白膠香碾爲細末, 就熱熨斗攤在紙上, 作膏藥妙.
ZZ	碾五靈脂, 入麻油三五滴, 卽易成末.
ZZ	凡用茯苓細末, 以水浸, 攪之澄之, 去其浮筋, 取沈者㬠乾最佳, 東坡茯苓賦言之詳矣. 大麻子欲取仁, 須先炒令十分熱, 急包起懸井中水面上, 少頃其殼自脫.
ZZ	淘洗鍾乳末時, 用細絹袋盛水淘洗, 浮在面者則皆鉢末, 當去之.
ZZ	艾以糯米飮拌和焙, 則硏成末.
ZZ	硏麝香須著少水, 自然細不必羅也.
ZZ	凡製湯, 末子壹兩, 炒塩三錢重和之則不蒸, 凡湯中用塩者, 不可入鐵碾, 候成末却入塩.
CC	辨僞
ZZ	血竭多以降眞僞爲, 不可不辨, 以針刺手見血, 用藥糝之立止, 則眞也.
ZZ	安息香燒之, 以厚紙覆其上, 煙透者眞.
ZZ	假附子, 法以川烏去皮爲末, 糯米薄糊搜, 入模匣內, 印成一二十樣, 用白及糊夾紙灰拌匀刷上陰乾, 炮之則裂, 緣白及性緊, 炮則裂. 以湯浸少時, 白及見湯則溶化, 乃辨眞僞也. 廣州番藥多有僞者, 好乳香多是白膠香攪糖爲之, 但燒之煙散多吒聲者, 僞也. 沒藥以五靈脂作, 但以乳香與茯苓共嚼, 成水者是眞.
ZZ	青州蝎比他處者緊小, 而尾梢多一節.
ZZ	肉蓯蓉最難辨, 唯咀之卽化都無滓者是眞. 許彥博云: 曾至雷州黃唐驛阻水, 因問土人烏藥. 云: 今州縣所取者, 皆烏藥之老根也, 結硬不堪用. 其好者自根中引一條, 根細如筋, 長幾尺, 乃生一根, 兩頭尖, 此根眞烏藥也. 經年又生, 別爲一本矣. 其未生苗當年者, 斷之如粉. 因引其人尋得一本, 掘之如其說.
ZZ	半夏於黑卓上書字, 乃眞齊州者.
ZZ	辨虎睛眞者, 以犬聞則捲尾而去.
ZZ	肉蓯蓉以刀切, 肉有細煤沙而無滓者是.
ZZ	辨血竭, 少許放香匙上近火, 少時如血色者則是眞, 如假者黑色.
ZZ	陽起石投於水椀中, 勃泡起者爲眞.
ZZ	用地龍, 須是如錢者佳.
ZZ	辨膃肭臍放臥犬鼻邊, 犬聞驚跳如狂者是. 辨蘆薈, 用一椀湯, 以兩小塊對點椀緣上, 少閒兩路金色如線下相合者是眞.
ZZ	辨白花蛇, 蘄州出者, 兩眼如蟬殼. 廬州者, 右眼枯左眼金黃, 左眼枯右眼金黃, 頭方背花方勝, 身自蟠, 不用竹揷串尾, 有白爪是.
ZZ	辨犀角, 鎊屑在掌中少時易碎硏成末; 如牛角騾蹄, 硏則軟.
ZZ	皖山石乳香, 玲瓏而有蜂窠者爲眞, 先爇之, 次爇沈檀之屬, 則香氣爲乳香煙罩定難散, 否則白膠香也.
CC	反惡
ZZ	藥十八反: 藜蘆反人參ㆍ丹參ㆍ沙參ㆍ玄參ㆍ苦參ㆍ細辛反芍藥. 甘草反甘遂ㆍ大戟ㆍ海藻ㆍ芫花. 烏頭反半夏ㆍ苽蔞ㆍ貝母ㆍ白歛.
ZZ	服茯苓, 如喫醋則前功俱廢.
ZZ	服何首烏散, 不可喫茶.
ZZ	服黃連多, 反爲心熱, 苦助心也.
ZZ	常服川烏草烏頭者, 不可食合蕈, 令人嘔血, 合蕈與二藥相反.
ZZ	今時治嗽幷痢, 多用罌粟殼爲主, 若不去蒂內膜, 服之能令人惡心頭重眼暈.
ZZ	患脚氣人不可喫鯽魚, 甚驗.
ZZ	有風病者不可喫胡桃, 能發風.
ZZ	凡患瘡疥者, 切須忌茶.
BB	簡易方
CC	男女動靜說
ZZ	予觀常淸靜經云: 天淸地濁, 男動女靜, 降本流末, 而生萬物. 又讀周子太極圖, 則曰: 陽動陰靜, 動極復靜, 靜極復動, 一動一靜, 互爲其根. 則知淸濁者, 天地之位; 動靜者, 男女之機也. 男子爲陽, 陽主動, 動中有靜; 女子爲陰, 陰主靜, 靜中有動. 是以上古天眞論: 女子二七, 天癸至, 任脉通, 太衝脉盛, 月事以時下; 至七七則任脉虛, 太衝脉衰少, 地道不通, 形壞而無子. 丈夫二八, 腎氣盛, 精氣溢寫, 陰陽和, 故有子; 至八八則齒髮去. 以此知男女陰陽之質不同, 天癸精血之形亦異. 陰靜血滿, 月溢則行, 靜極復動也; 陽動氣合, 時泄而止, 動極復靜也. 儻或當行而不行, 不當泄而泄, 則吾恐靜非其所當靜, 動非其所當動, 無病者幾希矣, 其可不致察於斯.
CC	四大奧論
ZZ	予嘗歷覽諸家方論, 探求醫之妙理. 復讀佛書, 見經中多引醫爲喩. 有云: 醫善巧方便, 普救一切人. 則知醫之心, 卽佛之心也. 疹療之際, 可不明其所以乎. 盖人之有生, 寓形宇內, 假合四大以爲身. 四大者何? 地ㆍ水ㆍ火ㆍ風也. 其生也由此而成, 其死也由此而滅, 從本不實故也. 人之死生旣繫乎此, 則爲醫者正當明死生之理, 以究其疾痛之原可也. 夫髮ㆍ毛ㆍ爪ㆍ齒ㆍ皮ㆍ肉ㆍ筋ㆍ骨ㆍ髓ㆍ腦ㆍ垢ㆍ色皆屬乎地, 若地大不和, 則髮焦ㆍ毛拔ㆍ爪枯ㆍ齒槁ㆍ皮緩ㆍ肉脫ㆍ筋急ㆍ骨痿ㆍ髓竭ㆍ腦轉ㆍ面垢ㆍ色敗, 此病之原於地大者也. 唾ㆍ涕ㆍ膿ㆍ血ㆍ津液ㆍ涎沫ㆍ痰ㆍ淚ㆍ精ㆍ氣ㆍ大小便利皆屬乎水, 若水大不和, 則多唾ㆍ鼽涕ㆍ濃潰ㆍ血溢ㆍ津液不收ㆍ涎沫流出ㆍ痰壅ㆍ淚盈ㆍ精走ㆍ氣泄ㆍ大小不淨盈流於外, 此病之原於水大者也. 至於煖氣則歸火, 動轉則歸風. 若火大不和, 爲煩, 爲熱, 爲焦渴, 爲癰瘍, 爲狂走, 爲癃閉. 若風大不和, 爲偏枯不隨, 爲四肢癱癏, 爲口眼喎斜, 爲筋脉攣急, 爲痒, 爲痛, 爲痺, 爲𤸷. 火大風大, 病各不同. 四者和合則一身安榮, 有一不和, 皆能爲病, 況於離散者乎. 矧乎四大之身, 人所均有而不自覺, 知醫之聖師亦秘而不示於人, 唯佛書則言之詳矣. 盖佛爲大醫王, 了達生死, 故能洞明此理. 予因得以經中所說, 一貫乎醫. 後之來者, 毋以予言爲迂; 若以予言爲迂, 是亦以佛氏爲迂.
CC	五常大論
